month,regression_baseline,adaptive_expectations,past_precipitation_control,current_precipitation_control,temperature_precipitation_control
1-Jan-01,2.491794824,6.75979991,4.562307784,2.816909009,4.601375292
1-Feb-01,0.781357706,5.811204453,1.335506054,0.255873901,1.369486743
1-Mar-01,-6.84785086,-2.614443585,-7.294595912,-10.94643765,-7.281681152
1-Apr-01,4.585528543,2.378241321,-0.112248206,2.563177862,-0.130447137
1-May-01,0.379476709,1.764039777,-1.637486196,2.629131706,-1.640632164
1-Jun-01,-0.259062803,0.605540271,2.212059271,-1.365461388,2.205081278
1-Jul-01,1.482161478,1.626134401,0.298465832,2.540473493,0.300529555
1-Aug-01,3.174132507,2.330405773,4.396202691,3.721643656,4.390768985
1-Sep-01,4.693652025,7.281093952,5.466043323,-1.080213411,5.464959491
1-Oct-01,6.975636052,12.4080208,1.044806241,8.26364888,1.064569317
1-Nov-01,4.297121174,9.776796253,6.157205811,2.823835068,6.165071576
1-Dec-01,-0.24678466,6.22075558,-1.462872283,-1.343445276,-1.477506444
1-Jan-02,2.27829128,6.304738891,1.231778386,3.66745432,1.174943932
1-Feb-02,0.033848662,4.74173066,1.723478739,-4.869599806,1.775822139
1-Mar-02,0.170362219,3.987535135,-5.034273362,-0.341805905,-5.00714382
1-Apr-02,0.886564302,2.301523859,0.387582469,0.471589036,0.395999226
1-May-02,0.379476709,1.707135268,0.003740547,-0.385896038,0.005623061
1-Jun-02,-0.259062803,0.586006714,-1.03689979,0.414026636,-1.028277465
1-Jul-02,1.482161478,1.573678452,2.216021566,-1.135062907,2.215979342
1-Aug-02,3.174132507,2.255231393,0.435487134,-0.280261726,0.455423462
1-Sep-02,4.689062452,7.04163038,1.149046748,5.139519755,1.179807669
1-Oct-02,6.978240777,12.00776206,7.75444262,3.324035349,7.751913427
1-Nov-02,2.321751406,7.495901602,-1.143777264,-1.451658959,-1.142040155
1-Dec-02,0.915705448,6.067763358,-2.876505459,0.966863239,-2.874989239
1-Jan-03,-4.09705946,-0.244135526,-3.877113389,-5.458185018,-3.899608685
1-Feb-03,4.520737227,5.475567162,2.932481504,6.831791431,2.90993318
1-Mar-03,1.748862114,5.941995806,4.450592854,4.006699792,4.456420142
1-Apr-03,-0.842109687,1.680864719,1.734194872,0.121912517,1.74911789
1-May-03,0.670226822,1.633112381,1.724403632,0.915715349,1.726104313
1-Jun-03,-0.391337818,0.423685335,-0.073253288,1.757915257,-0.069378553
1-Jul-03,-2.588422119,-2.627811991,-0.270687503,-1.462036966,-0.278356632
1-Aug-03,-18.8967633,-22.24270703,-17.80435548,-15.66768863,-17.80924664
1-Sep-03,-24.08197522,-35.81280214,-21.56820631,-23.51238272,-21.58819378
1-Oct-03,19.05010489,-0.491952567,18.19011126,17.54852925,18.18798388
1-Nov-03,-0.30863486,-2.2426478,-1.458807254,1.643510196,-1.477306586
1-Dec-03,-4.777422755,-5.207251972,-2.700449465,-3.644859085,-2.684061528
1-Jan-04,2.178320277,-0.2559264,3.148538373,-1.393297398,3.169203177
1-Feb-04,4.531627535,5.309640884,0.715045189,4.4879144,0.662237055
1-Mar-04,0.623601165,4.636674378,0.788129339,2.088828457,0.80721856
1-Apr-04,0.341291325,2.174709887,2.007927148,1.01878163,2.014547389
1-May-04,0.381721894,1.604299037,1.169721608,0.144704891,1.174524951
1-Jun-04,-0.259062803,0.554855055,-0.467494594,0.281924905,-0.469743162
1-Jul-04,1.482161478,1.604131667,2.073670267,-0.187038719,2.069138424
1-Aug-04,2.639650244,2.324294573,0.922584781,1.563087169,0.932380784
1-Sep-04,1.644913835,4.559331952,0.640830892,1.629985711,0.651859406
1-Oct-04,7.926635616,10.69602087,8.043509179,8.549626729,8.045773917
1-Nov-04,3.561823718,8.034832985,4.705043204,3.016482558,4.708470537
1-Dec-04,-5.252053558,0.26662688,-5.517901689,-3.163688059,-5.522924949
1-Jan-05,5.442643116,6.035600087,7.563179789,4.923805804,7.584179289
1-Feb-05,-0.122314519,4.065897734,-0.413153159,-1.359123347,-0.369373232
1-Mar-05,1.669110583,4.928577144,0.406667131,2.622943485,0.340792943
1-Apr-05,0.102187705,2.114703888,1.25405931,-0.528027916,1.254786954
1-May-05,0.379476709,1.557113772,-0.247467628,-0.805513301,-0.240024044
1-Jun-05,-0.259062803,0.538535788,-1.489074505,1.781668087,-1.482107958
1-Jul-05,1.448775081,1.523564927,3.656389796,-0.68666652,3.644547876
1-Aug-05,3.019135015,2.616469922,0.798004715,2.369527967,0.815407879
1-Sep-05,3.58885989,6.573795932,3.063127158,4.200251316,3.063533792
1-Oct-05,-0.484607014,3.189565067,0.408242521,1.176370224,0.409319509
1-Nov-05,-22.15657835,-21.99474369,-20.2798961,-20.87560183,-20.27700852
1-Dec-05,-4.251348167,-15.6527172,-3.920322476,-4.436789624,-3.915863328
1-Jan-06,-0.866609335,-9.476497059,-1.566517083,1.851115556,-1.57318129
1-Feb-06,-7.696633456,-12.3303185,-5.035376127,-8.098392943,-5.012259789
1-Mar-06,10.13399994,4.013217114,9.181401598,7.76116758,9.154070361
1-Apr-06,0.028171659,1.540690207,-2.216016575,-1.326967887,-2.26970884
1-May-06,0.670957017,1.512624807,-0.751718278,-1.297746472,-0.749407902
1-Jun-06,-0.259062803,0.523149051,-2.326435088,2.255680181,-2.314267866
1-Jul-06,0.011415633,0.042675052,2.729820302,2.577241519,2.715387232
1-Aug-06,3.474112645,2.180945123,6.248042738,-1.24261936,6.235346696
1-Sep-06,4.874868375,7.467234334,-0.031326319,7.501971875,-0.005826861
1-Oct-06,6.797837627,10.99452857,9.921213083,7.011913646,9.911912832
1-Nov-06,-1.435970841,3.818107563,-0.743648546,-0.627871882,-0.731937088
1-Dec-06,-0.635701279,2.70058079,0.320047199,1.268846241,0.340035816
1-Jan-07,4.093885127,5.916539074,6.179530688,1.487382195,6.229842882
1-Feb-07,1.08435987,5.379815316,-1.494461185,-0.784589745,-1.423152524
1-Mar-07,1.748862114,5.373267808,-0.138143141,1.21702206,-0.114933911
1-Apr-07,-0.606949918,1.697910077,-1.036769851,2.890317247,-1.022619162
1-May-07,0.062926069,0.976092263,3.85850964,-4.747262321,3.857338726
1-Jun-07,0.021589931,0.508617133,-5.134939295,-2.241268435,-5.101680062
1-Jul-07,1.482161478,1.512235479,-0.940827831,-1.5313681,-0.919489873
1-Aug-07,2.677106472,2.158051104,-0.488592799,1.149843373,-0.467692738
1-Sep-07,4.975729743,7.382061517,3.487827102,2.389187787,3.497749352
1-Oct-07,2.959027988,6.919696239,0.469750173,5.715701238,0.480025182
1-Nov-07,0.991573457,4.003191828,4.235945351,-0.564759149,4.230028957
1-Dec-07,2.913285667,6.340184858,1.387933557,3.547169512,1.371875116
1-Jan-08,1.691224439,5.460983652,2.586911813,1.013259129,2.598267851
1-Feb-08,-1.129727584,2.852537477,-1.696734007,-0.632441606,-1.630952655
1-Mar-08,3.100651558,5.228044354,3.649988379,0.704113778,3.684087484
1-Apr-08,-0.464571025,1.794399508,-2.870561934,-2.888569688,-2.88099442
1-May-08,0.476636811,1.444226579,-2.101437152,3.508916681,-2.100930494
1-Jun-08,-0.259062803,0.494870724,3.05779346,1.330968064,3.046343627
1-Jul-08,1.482161478,1.47136425,3.204107054,1.009647551,3.196385444
1-Aug-08,3.174132507,2.596751434,2.746602343,2.221900474,2.751458047
1-Sep-08,4.689062452,7.177956768,3.845347825,5.240538726,3.852649575
1-Oct-08,5.567217297,9.338262004,6.452276015,4.454027519,6.44696948
1-Nov-08,4.445503008,8.830524432,3.648472677,6.077779587,3.651826091
1-Dec-08,0.117037527,6.176538767,2.23492563,1.949257281,2.245504528
1-Jan-09,-2.448988035,1.178877681,-0.330596163,0.043529611,-0.313090876
1-Feb-09,1.592584617,3.151114664,4.237671727,0.730855329,4.252957318
1-Mar-09,2.888596999,5.090464239,2.049617105,1.211796619,2.030762418
1-Apr-09,-0.293373168,1.918376326,-1.928992341,1.16020251,-1.934988453
1-May-09,0.379476709,1.406220616,1.988285128,-0.145004646,1.995860072
1-Jun-09,-0.259062803,0.481847811,-0.77731801,-0.689411352,-0.770713828
1-Jul-09,1.482161478,1.432644138,1.026969539,-0.466783561,1.02688728
1-Aug-09,2.95750576,2.311789122,0.938990488,5.509854944,0.954985797
1-Sep-09,-10.5027869,-8.325728588,-7.580701467,-8.749656209,-7.597252777
1-Oct-09,-10.68116029,-15.84747947,-9.25437661,-12.24114297,-9.260549007
1-Nov-09,15.77985263,5.784226754,13.48342831,13.33623169,13.48225688
1-Dec-09,1.765255213,6.066017572,-0.30054254,0.786857287,-0.277817825
1-Jan-10,2.521031758,6.145827107,1.652409071,3.957354622,1.613843374
1-Feb-10,0.473755854,4.787541331,2.22677344,0.733489991,2.134558901
1-Mar-10,1.892717638,4.938638399,2.2773379,2.219659334,2.256438846
1-Apr-10,-1.737924734,0.412546579,-1.239326185,0.453590923,-1.237373781
1-May-10,1.080276809,1.244274973,3.412654621,-1.584447812,3.412923932
1-Jun-10,-0.187617052,0.469492738,-2.998082537,2.154542101,-2.997813072
1-Jul-10,1.482161478,1.395909673,4.01634682,1.561366545,4.002249852
1-Aug-10,3.174132507,2.469139226,3.341128356,-3.528410172,3.347186566
1-Sep-10,4.693652025,7.207132962,-2.346530916,3.255831643,-2.30107416
1-Oct-10,6.307908115,10.24215944,5.049550357,8.334136499,5.053512459
1-Nov-10,4.493219285,8.929054652,7.115826708,2.078811829,7.109935228
1-Dec-10,-0.267275883,5.748691787,-2.497225024,-1.583881498,-2.502600858
1-Jan-11,-1.305930063,2.071193702,-2.59303983,-1.192767888,-2.889577072
1-Feb-11,2.784039663,4.752854247,2.919941368,4.391771331,2.953024717
1-Mar-11,-2.608404285,0.36229148,-0.712337938,0.190716533,-0.690514905
1-Apr-11,-7.529665809,-7.916656456,-4.588126285,-5.722127033,-4.572709329
1-May-11,-17.17559268,-21.76392958,-15.60566022,-15.34769208,-15.59989296
1-Jun-11,10.56284181,-1.832002541,11.57503263,9.460611733,11.56934585
1-Jul-11,2.768652237,1.347993904,1.798468011,-0.484309074,1.806503248
1-Aug-11,3.181520642,2.407410745,-0.210908765,1.498675325,-0.193246471
1-Sep-11,3.124261963,5.457564576,1.493428388,3.559177886,1.507002422
1-Oct-11,2.555276808,5.342796525,3.237467771,3.216872267,3.240123421
1-Nov-11,-32.44373316,-30.8609017,-31.49902781,-27.57491002,-31.49809458
1-Dec-11,13.7537821,-2.82890077,17.48297276,9.205481057,17.50404152
1-Jan-12,7.403533281,5.941664509,2.76905694,4.198244216,2.784759658
1-Feb-12,0.719359492,4.797533162,-2.40943512,2.805205793,-2.394109388
1-Mar-12,1.762532653,4.815538772,4.127077222,4.991119169,4.112567822
1-Apr-12,-0.32662355,2.011846103,3.295784366,0.163230041,3.315932851
1-May-12,0.402244127,1.869884354,0.970744625,1.68004387,0.972080711
1-Jun-12,-0.259062803,0.502438409,1.165358543,-1.62189416,1.163621046
1-Jul-12,1.482161478,1.328134031,0.022136839,0.201495784,0.030411157
1-Aug-12,1.875203413,1.049764316,0.576818242,2.702459404,0.585872459
1-Sep-12,5.430834643,6.893843307,6.440539762,6.594932281,6.436920007
1-Oct-12,6.975636052,10.52352128,8.539183458,7.06696261,8.533791914
1-Nov-12,4.547323543,9.879116813,5.117872883,5.125499614,5.116895112
1-Dec-12,-0.844401924,5.344483882,0.162496397,-2.846996354,0.170602771
1-Jan-13,2.803109475,5.800196307,0.754388001,2.865360754,0.733331432
1-Feb-13,0.581338563,4.545285252,0.860601523,0.639034757,0.87673454
1-Mar-13,1.852962224,4.712981493,2.025180744,3.642185473,1.995824965
1-Apr-13,-0.293373168,2.004061609,1.780515041,0.414216264,1.757479184
1-May-13,0.379476709,1.825363298,1.184418969,-4.201304858,1.185174799
1-Jun-13,-4.158836416,-3.409298023,-9.048113866,-5.1098212,-9.031101726
1-Jul-13,3.695404169,1.296511792,2.486625218,7.034470975,2.49303713
1-Aug-13,2.689576569,1.839143083,6.423728501,4.161799835,6.40116511
1-Sep-13,3.544244803,5.305296409,5.289169736,2.045760784,5.279693476
1-Oct-13,7.780203277,10.26913281,6.392898647,6.524313959,6.400834039
1-Nov-13,4.549496303,9.64936991,3.687970012,4.070808995,3.699458531
1-Dec-13,-0.398678332,5.665917151,-0.530590404,2.012479193,-0.531225731
1-Jan-14,2.550147488,5.665308021,5.279642196,4.133449752,5.326558818
1-Feb-14,0.764764838,4.623007219,2.676880935,2.298892144,2.741585088
1-Mar-14,1.254585115,4.109100272,3.026845607,4.196243518,3.069621196
1-Apr-14,-3.469461825,-1.499150686,-0.180685399,-2.962534214,-0.160633861
1-May-14,2.341208129,1.782912988,2.766136679,0.653028533,2.775341868
1-Jun-14,-1.466209295,-0.637384902,-3.190263741,0.722164707,-3.18286286
1-Jul-14,2.001579273,1.10068501,4.308688371,-1.439413997,4.295305574
1-Aug-14,3.268158413,2.280928252,-0.349522361,1.567796755,-0.317496699
1-Sep-14,4.693652025,6.606325194,3.046071238,5.447166241,3.05409512
1-Oct-14,6.765133486,9.82364164,7.868132571,6.623339342,7.868098707
1-Nov-14,4.66679029,9.430066048,4.975737669,7.48020178,4.988360109
1-Dec-14,-0.45365926,5.482165379,2.964837539,-0.707848426,2.983694005
1-Jan-15,2.581350873,5.53655102,2.435984041,1.016812362,2.455095741
1-Feb-15,0.764764838,4.517938873,-0.714429426,3.06041977,-0.677835972
1-Mar-15,1.748862114,4.509988629,4.341735978,1.823135885,4.370804898
1-Apr-15,-0.293373168,1.991527131,-0.070051847,0.297655913,-0.061630913
1-May-15,-0.448900017,0.914015513,0.230438155,0.914896313,0.232335129
1-Jun-15,0.211066727,0.584247611,1.686695765,1.914711743,1.679836543
1-Jul-15,0.607563445,0.366746754,2.463486714,1.409442687,2.452625122
1-Aug-15,-4.962373177,-6.403778268,-4.059816183,-4.931271749,-4.061565869
1-Sep-15,-7.292700735,-10.4295917,-7.490850709,-6.790744239,-7.48505266
1-Oct-15,-5.493288175,-12.2412455,-5.374766792,-4.524749272,-5.378300998
1-Nov-15,-14.96067428,-22.80275496,-14.29829338,-17.97033467,-14.30169367
1-Dec-15,7.758476834,-4.601721694,3.625410358,10.1205648,3.649838497
1-Jan-16,4.891136708,2.069523151,7.519588907,3.82714272,7.58279332
1-Feb-16,2.662584991,4.417540231,1.69653961,0.602244963,1.715863776
1-Mar-16,1.748862114,4.40976666,-0.305615257,2.600204891,-0.290986684
1-Apr-16,-0.293373168,1.947270973,0.767308736,-0.627056204,0.770266115
1-May-16,0.048126018,1.390730092,-0.268994903,0.168611939,-0.26807353
1-Jun-16,-2.296583129,-1.654307807,-2.13618984,-5.093508213,-2.13275804
1-Jul-16,2.745242814,1.233194859,-0.365415261,3.689284523,-0.341651903
1-Aug-16,3.174132507,2.371395157,4.304093027,5.438966159,4.299324371
1-Sep-16,2.372073334,4.366371453,4.99503152,4.322273819,4.979303153
1-Oct-16,-14.73892955,-12.94922634,-12.46102556,-14.39012224,-12.46543302
1-Nov-16,14.1327211,6.230167199,13.87585805,14.50617368,13.87402418
1-Dec-16,-23.12301477,-19.1874225,-22.18776076,-19.61466565,-22.19076084
1-Jan-17,-21.88847181,-33.08968773,-19.14778279,-20.64806691,-19.10074982
1-Feb-17,18.66981569,0.400325902,18.6578962,18.73506438,18.64400818
1-Mar-17,3.974254075,4.313902167,4.506201413,3.881238317,4.534354927
1-Apr-17,-4.534624705,-2.336312542,-4.436907472,-3.943595624,-4.416335771
1-May-17,2.786518731,1.69184752,3.256440651,3.481560544,3.254867259
1-Jun-17,-0.376329353,0.489960994,0.478686796,-1.133046885,0.479729201
1-Jul-17,0.888599533,0.54627192,0.07592599,-2.988993744,0.087472275
1-Aug-17,3.287840437,2.058915612,-0.839922921,2.48248216,-0.808961072
1-Sep-17,4.747495269,6.49878782,4.05836919,4.580692381,4.065916233
1-Oct-17,3.938121249,7.273412606,4.048381588,2.784918178,4.047743288
1-Nov-17,5.149933496,8.432035975,4.228084548,3.900861912,4.241674958
1-Dec-17,0.30620899,5.974903313,-0.669684891,-0.242623887,-0.667634551
1-Jan-18,-3.523106879,0.028424192,-3.964675668,-6.352892859,-3.947779357
1-Feb-18,4.195001304,4.312989176,1.052473592,6.762142941,1.106318767
1-Mar-18,1.73229458,4.20554948,4.701980706,2.164020093,4.715111382
1-Apr-18,-0.283970578,1.954647773,0.323718572,0.594359698,0.309904781
1-May-18,0.379476709,1.655850764,1.368638297,1.719960969,1.379660883
1-Jun-18,-0.274492792,0.581372852,1.2169174,2.224708812,1.218551689
1-Jul-18,-7.700129368,-7.996284376,-4.999233782,-4.396287547,-5.012142798
1-Aug-18,-37.48437633,-43.59867768,-34.29615171,-35.0120803,-34.316951
1-Sep-18,-4.568638272,-28.8428589,-3.859100866,-3.608234225,-3.873509597
1-Oct-18,-47.65749685,-64.45596782,-47.43487325,-45.51289041,-47.43866591
1-Nov-18,-30.00760517,-67.52199472,-30.41907494,-27.41922041,-30.41860126
1-Dec-18,34.05551195,-3.40684646,34.47100211,30.58364524,34.48922263
1-Jan-19,7.516841412,5.813990477,4.524783599,6.113659386,4.548560733
1-Feb-19,0.78175421,4.093712839,-0.408728286,2.483499152,-0.403860514
1-Mar-19,1.804019706,4.116207762,3.75410916,0.384646619,3.79628588
1-Apr-19,-0.997729533,1.199187371,-2.383043799,0.525545687,-2.366890666
1-May-19,0.785113056,1.621353873,2.433992959,0.04934703,2.437296092
1-Jun-19,-0.259062803,0.584690907,-0.995031761,1.602942216,-0.997985681
1-Jul-19,1.306039909,1.185231157,3.321061689,3.366770941,3.31632626
1-Aug-19,3.256933961,3.167189149,5.550503109,4.214013159,5.53776888
1-Sep-19,1.156742665,3.509005613,2.372088125,1.132965963,2.368721017
1-Oct-19,7.732473341,10.29649792,7.822992557,5.982886781,7.825631577
1-Nov-19,4.730974692,10.25683263,3.305205086,5.261818939,3.319314006
1-Dec-19,-0.047058771,5.91995364,0.900217088,0.98961139,0.908247659
1-Jan-20,-2.467141433,0.965144601,-1.208868239,-0.541265095,-1.167978527
1-Feb-20,3.429533903,3.973415873,5.463792362,-2.249906738,5.542893765
1-Mar-20,1.843171137,4.050497161,-4.09649076,2.272746818,-4.068362285
1-Apr-20,-6.714310414,-4.531484513,-6.105803225,-4.172838127,-6.095733783
1-May-20,3.273133371,0.837840297,5.737206082,5.587362406,5.738956216
1-Jun-20,-1.950023988,-1.54409209,0.643143588,-2.84078097,0.63072234
1-Jul-20,2.169845725,0.823470136,1.124462927,4.52955958,1.134291592
1-Aug-20,-1.564370764,-1.910335045,1.064221825,-2.360064081,1.047022513
1-Sep-20,-0.225880889,-0.790199809,-1.14211334,0.812239639,-1.129301982
1-Oct-20,10.8829013,10.83750286,11.97885151,9.498238704,11.9766459
1-Nov-20,-0.337710488,5.409304692,-1.274217174,3.171254993,-1.264554676
1-Dec-20,-3.123716055,0.09019599,0.793054281,-2.046086559,0.811991757
1-Jan-21,2.997495934,3.169105632,4.082621671,1.764519218,4.117291355
1-Feb-21,-4.748355967,-3.022170962,-5.928643029,-4.555474829,-5.92189817
1-Mar-21,5.768283278,3.969487217,5.784082344,6.489147429,5.797222376
1-Apr-21,-4.376587479,-2.103131888,-3.357773604,-3.264922163,-3.3496815
1-May-21,2.499649696,1.374330214,3.538406461,0.45368248,3.53177294
1-Jun-21,-0.147158162,0.603640281,-2.257760742,-1.380438723,-2.257791541
1-Jul-21,-1.334319391,-1.495785936,-2.651992731,-3.25218167,-2.633445769
1-Aug-21,4.772572908,3.157912346,2.648485356,2.626070624,2.665626882
1-Sep-21,4.314301506,6.620490956,2.222919611,6.559788214,2.235174245
1-Oct-21,-7.527452566,-3.592773066,-4.835451992,-6.205494029,-4.844194968
1-Nov-21,-10.29280959,-12.71847675,-9.117592496,-9.221227729,-9.117314597
1-Dec-21,10.32189437,3.306153735,10.92047781,10.86331605,10.92909417
1-Jan-22,3.023537626,4.959167644,3.940971354,3.541741155,3.967579886
1-Feb-22,1.129310742,3.965935809,1.882671351,-1.358045926,1.946011898
1-Mar-22,-9.94929034,-7.893582671,-12.50538692,-6.729872235,-12.47783705
1-Apr-22,5.409000671,1.035206089,8.441723898,4.674187357,8.459091173
1-May-22,0.914010731,1.519444129,0.280243997,2.630271918,0.28089955
1-Jun-22,-1.31167448,-0.475061836,0.597175853,0.503381461,0.593249393
1-Jul-22,-23.86823863,-24.60585566,-21.95613612,-20.40704429,-21.96289292
1-Aug-22,-43.06035136,-57.86925956,-40.51568861,-41.34112326,-40.53879174
1-Sep-22,21.38450239,-11.03879643,20.77114982,17.81363178,20.76189709
1-Oct-22,16.3947118,10.45131679,12.80345321,17.10912387,12.81896952
1-Nov-22,NaN,NaN,NaN,NaN,NaN
1-Dec-22,NaN,NaN,NaN,NaN,NaN
